model,condition,n_pairs,mean_diff,ci_lo,ci_hi,p_two,rel_diff,ref_mean
aurora,C2_empty,108,0.002018070107118951,0.00031844855122337265,0.0040976415590935,0.0132,0.0002359521365336211,8.552879142212785
aurora,C3_shuffled,108,0.0003240985657881807,-6.534172549705796e-05,0.0007618315185903123,0.1068,3.789350467827733e-05,8.552879142212785
aurora,C4_crossdomain,108,-0.0005067900099136212,-0.0028206236669103845,0.0015800555266819337,0.6562,-5.925373216281709e-05,8.552879142212785
aurora,C5_constant,108,0.002607210935955798,-0.002312110349346225,0.007469633898559818,0.2874,0.00030483430112883197,8.552879142212785
aurora,C6_unimodal,108,0.0,0.0,0.0,0.0001,0.0,8.552879142212785
aurora,C8_oracle,108,0.002048802717278401,-0.002237063514379163,0.006270299000337857,0.3374,0.00023954538386571176,8.552879142212785
aurora,C9_zero_priors,108,0.0,0.0,0.0,0.0001,0.0,8.552879142212785
mmtsflib,C2_empty,108,0.20416947343835123,0.11969059574659224,0.30275233617673314,0.0001,0.013552696538587573,15.064859812734303
mmtsflib,C3_shuffled,108,0.017548884920499944,0.0014073964035897348,0.037234245882266086,0.031,0.0011648886971829568,15.064859812734303
mmtsflib,C4_crossdomain,108,0.009781175051574354,-0.009208806248864634,0.033523465496384436,0.3848,0.0006492708975165067,15.064859812734303
mmtsflib,C5_constant,108,0.21082992824139418,0.12612752396337415,0.3085097695252409,0.0001,0.013994815143462534,15.064859812734303
mmtsflib,C6_unimodal,108,0.20106005930790194,0.12056062342943973,0.29150211832106665,0.0001,0.013346294742015865,15.064859812734303
mmtsflib,C8_oracle,108,0.022073900947968166,-0.033101482799759614,0.07546510176250228,0.4122,0.0014652576407852883,15.064859812734303
mmtsflib,C9_zero_priors,108,0.19836105627042275,0.11425760013775696,0.2933873428273256,0.0001,0.013167135886837026,15.064859812734303
tats,C2_empty,108,1.0717536703579955,0.6523854638553329,1.5429168457717253,0.0001,0.07555545229780905,14.184994434730875
tats,C3_shuffled,108,0.0010864516651188886,0.00024553685000649214,0.002100703972219317,0.0068,7.659161729798036e-05,14.184994434730875
tats,C4_crossdomain,108,0.001040102431067714,-5.037609349798265e-05,0.0023807162315481237,0.0644,7.332413388341575e-05,14.184994434730875
tats,C5_constant,108,1.0706396852102544,0.6517489288174722,1.5418273554287023,0.0001,0.07547691965171836,14.184994434730875
tats,C6_unimodal,108,1.1957116463670023,0.7158696072210593,1.741807397748171,0.0001,0.08429412164162671,14.184994434730875
tats,C8_oracle,108,0.0003713670152205008,-0.0010862569945553936,0.001897887989050812,0.6284,2.6180272183345876e-05,14.184994434730875
tats,C9_zero_priors,108,1.0719262280121997,0.6524848309242063,1.543379791777719,0.0001,0.07556761710019923,14.184994434730875
