model,backbone,condition,mse_mean,mse_std,n_cells
aurora,default,C1_original,8.552879142212785,22.83683411678355,108
aurora,default,C2_empty,8.554897212319904,22.843726054754555,108
aurora,default,C3_shuffled,8.553203240778574,22.83749743583745,108
aurora,default,C4_crossdomain,8.552372352202871,22.833978869560756,108
aurora,default,C5_constant,8.55548635314874,22.835542081305483,108
aurora,default,C6_unimodal,8.552879142212785,22.83683411678355,108
aurora,default,C7_null,8.55521282757184,22.843619256419863,108
aurora,default,C8_oracle,8.554927944930064,22.835823908386523,108
aurora,default,C9_zero_priors,8.552879142212785,22.83683411678355,108
mmtsflib,DLinear,C1_original,12.754585671066135,34.330881671176435,108
mmtsflib,DLinear,C2_empty,13.052020527870843,34.478833559420295,108
mmtsflib,DLinear,C3_shuffled,12.755300191127592,34.33090281806903,108
mmtsflib,DLinear,C4_crossdomain,12.7553395965585,34.33082795986178,108
mmtsflib,DLinear,C5_constant,13.051721574152234,34.47887604597685,108
mmtsflib,DLinear,C6_unimodal,13.08591472323018,35.07041710450178,108
mmtsflib,DLinear,C7_null,13.051637813310933,34.47888339002303,108
mmtsflib,DLinear,C8_oracle,12.75560113435818,34.33080259148821,108
mmtsflib,DLinear,C9_zero_priors,13.052173671450603,34.47866827957444,108
mmtsflib,Informer,C1_original,15.064859812734303,40.743964854996456,108
mmtsflib,Informer,C2_empty,15.269029286172655,41.18538349439859,108
mmtsflib,Informer,C3_shuffled,15.082408697654804,40.78260745236365,108
mmtsflib,Informer,C4_crossdomain,15.074640987785878,40.78030516108707,108
mmtsflib,Informer,C5_constant,15.275689740975698,41.19168291203291,108
mmtsflib,Informer,C6_unimodal,15.265919872042206,41.17582995481226,108
mmtsflib,Informer,C7_null,15.27309676259756,41.20016046014034,108
mmtsflib,Informer,C8_oracle,15.086933713682273,40.765696365859135,108
mmtsflib,Informer,C9_zero_priors,15.263220869004726,41.19459945843449,108
mmtsflib,iTransformer,C1_original,13.564963404089212,36.79437834184276,108
mmtsflib,iTransformer,C2_empty,14.084210946673045,37.82913436252875,108
mmtsflib,iTransformer,C3_shuffled,13.55795050593507,36.78662111879859,108
mmtsflib,iTransformer,C4_crossdomain,13.552885811931143,36.7695526259956,108
mmtsflib,iTransformer,C5_constant,14.084999772737286,37.83052809453031,108
mmtsflib,iTransformer,C6_unimodal,13.762075604724318,37.27641903345098,108
mmtsflib,iTransformer,C7_null,14.085676128475892,37.83328014681328,108
mmtsflib,iTransformer,C8_oracle,13.565697286243516,36.78572816299514,108
mmtsflib,iTransformer,C9_zero_priors,14.080271596347707,37.82128804208544,108
tats,DLinear,C1_original,12.420795699046856,33.584500402924085,108
tats,DLinear,C2_empty,18.578064567099016,35.055900611258664,108
tats,DLinear,C3_shuffled,12.420795699046856,33.584500402924085,108
tats,DLinear,C4_crossdomain,12.420795697943065,33.58450040331708,108
tats,DLinear,C5_constant,18.578064567099016,35.055900611258664,108
tats,DLinear,C6_unimodal,13.164930261602557,35.221592153729034,108
tats,DLinear,C7_null,18.578064567099016,35.055900611258664,108
tats,DLinear,C8_oracle,12.420795697943065,33.58450040331708,108
tats,DLinear,C9_zero_priors,18.578064567099016,35.055900611258664,108
tats,Informer,C1_original,14.184994434730875,38.75579944469216,108
tats,Informer,C2_empty,15.25674810508887,41.10152526974391,108
tats,Informer,C3_shuffled,14.186080886395994,38.759107653360495,108
tats,Informer,C4_crossdomain,14.186034537161943,38.75941541640673,108
tats,Informer,C5_constant,15.255634119941128,41.09819900648752,108
tats,Informer,C6_unimodal,15.380706081097877,41.41854237497395,108
tats,Informer,C7_null,15.25627720631935,41.10041445644715,108
tats,Informer,C8_oracle,14.185365801746094,38.75679819670221,108
tats,Informer,C9_zero_priors,15.256920662743074,41.10164403516569,108
tats,iTransformer,C1_original,13.316458539399147,36.34752846096832,108
tats,iTransformer,C2_empty,18.485810494171112,40.68305560036323,108
tats,iTransformer,C3_shuffled,13.316453164348516,36.347512972065225,108
tats,iTransformer,C4_crossdomain,13.316453194262943,36.34751296149692,108
tats,iTransformer,C5_constant,18.48581119745763,40.683057200501636,108
tats,iTransformer,C6_unimodal,13.46715005524284,36.52904290242872,108
tats,iTransformer,C7_null,18.48581119745763,40.683057200501636,108
tats,iTransformer,C8_oracle,13.316453194262943,36.34751296149692,108
tats,iTransformer,C9_zero_priors,18.485810494171112,40.68305560036323,108
