n_pairs,mean_diff,ci_lo,ci_hi,p_two_sided,rel_diff,model,test,ref,metric
108,0.002018070107118951,0.00031844855122337265,0.0040976415590935,0.0132,0.0002359521365336211,aurora,C2_empty,C1_original,mse
108,0.0003240985657881807,-6.534172549705796e-05,0.0007618315185903123,0.1068,3.789350467827733e-05,aurora,C3_shuffled,C1_original,mse
108,-0.0005067900099136212,-0.0028206236669103845,0.0015800555266819337,0.6562,-5.925373216281709e-05,aurora,C4_crossdomain,C1_original,mse
108,0.002607210935955798,-0.002312110349346225,0.007469633898559818,0.2874,0.00030483430112883197,aurora,C5_constant,C1_original,mse
108,0.0,0.0,0.0,0.0,0.0,aurora,C6_unimodal,C1_original,mse
108,0.0023336853590552454,0.0011181023484958268,0.003741966662238593,0.0,0.0002728537747642578,aurora,C7_null,C1_original,mse
108,0.002048802717278401,-0.002237063514379163,0.006270299000337857,0.3374,0.00023954538386571176,aurora,C8_oracle,C1_original,mse
108,0.5380346473927299,0.2491880870544938,0.8933922467813654,0.0,0.03652398636927967,mmtsflib,C2_empty,C1_original,mse
108,0.35141405887487864,0.1107680249821258,0.6495191984947908,0.0,0.023855419643543093,mmtsflib,C3_shuffled,C1_original,mse
108,0.34364634900595303,0.103617561272242,0.6416570371396287,0.0002,0.023328115815159586,mmtsflib,C4_crossdomain,C1_original,mse
108,0.5446951021957729,0.2567823095307513,0.8977208196711555,0.0,0.036976125207583845,mmtsflib,C5_constant,C1_original,mse
108,0.5349252332622806,0.25435472315832697,0.8769971932043079,0.0,0.03631290665560822,mmtsflib,C6_unimodal,C1_original,mse
108,0.5421021238176359,0.2522195528985726,0.8981770489088913,0.0,0.036800103259187304,mmtsflib,C7_null,C1_original,mse
108,0.35593907490234683,0.13820039854057273,0.6253690307373525,0.0,0.02416259618785843,mmtsflib,C8_oracle,C1_original,mse
108,4.562866562356551,3.2962411656732136,5.941326974998272,0.0,0.35140185071542657,tats,C2_empty,C1_original,mse
108,1.180140563916346,0.5893428889648662,1.8444464093106538,0.0,0.09088663290875904,tats,C3_shuffled,C1_original,mse
108,1.201280606393185,0.6115066777996686,1.8638658259934917,0.0,0.0925146993772922,tats,C4_crossdomain,C1_original,mse
108,2.2708801891723716,1.2645058955499229,3.3967612185935843,0.0,0.17488819590113902,tats,C5_constant,C1_original,mse
108,2.3959521503291197,1.3328997505645492,3.594565324461803,0.0,0.18452041240855985,tats,C6_unimodal,C1_original,mse
108,2.2715232755505927,1.2654265198645323,3.397818881384294,0.0,0.17493772216722386,tats,C7_null,C1_original,mse
108,1.2006118709773377,0.6112447460238064,1.8632894272389993,0.0,0.09246319779170863,tats,C8_oracle,C1_original,mse
