condition,DLinear,Informer,iTransformer
C1_original,12.420795699046856,14.184994434730875,13.316458539399147
C2_empty,18.578064567099016,15.25674810508887,18.485810494171112
C3_shuffled,12.420795699046856,14.186080886395994,13.316453164348516
C4_crossdomain,12.420795697943065,14.186034537161943,13.316453194262943
C5_constant,18.578064567099016,15.255634119941128,18.48581119745763
C6_unimodal,13.164930261602557,15.380706081097877,13.46715005524284
C7_null,,,
C8_oracle,12.420795697943065,14.185365801746094,13.316453194262943
C9_zero_priors,18.578064567099016,15.256920662743074,18.485810494171112
