condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.542547,0.871339,0.384679,0.218706,0.866996,0.169754,5.234760,0.488263,0.249102
C2_empty,0.553838,0.866164,0.406886,0.257060,0.864372,0.257946,5.254809,0.479436,0.292801
C3_shuffled,0.543526,0.871438,0.384689,0.215132,0.865229,0.175360,5.234287,0.491426,0.249107
C4_crossdomain,0.543100,0.871525,0.392575,0.212856,0.865075,0.169333,5.229257,0.487007,0.250435
C5_constant,0.554255,0.866139,0.406717,0.257268,0.864295,0.257876,5.254568,0.479392,0.292720
C6_unimodal,0.566388,0.892492,0.388974,0.223317,0.887823,0.194211,5.282068,0.494310,0.263440
C8_oracle,0.542356,0.868707,0.383633,0.218701,0.866047,0.166666,5.282690,0.485343,0.249574
C9_zero_priors,0.553007,0.869603,0.390937,0.260513,0.867435,0.262377,5.226349,0.479452,0.294386
C10_empty_keep_priors,0.542314,0.867540,0.393376,0.221540,0.862892,0.178526,5.263230,0.488697,0.250301
C11_constant_keep_priors,0.542358,0.867504,0.393341,0.221549,0.862832,0.178606,5.263535,0.488792,0.250332
